"One of us snores","Frequent bathroom","Sick","No longer physically intimate","prefer different room temperature","Argument or fight","Not enough space","Dont want to share the covers","Sleep with child","Different sleep time","att20","Hypothesis 1","Hypothesis 2","Hypothesis 3","Age","StartDate","EndDate","Which of the following best describes your current relationship status?","How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?","att7","When you're not sleeping in the same bed, where does your partner typically sleep?","att9","When was the first time you slept in separate beds?","Which of the following best describes your current occupation?","att26","Gender","Household Income","Education","Location (Census Region)"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 9:26 PM,9/7/14 9:26 PM,"Married","11-15 years","Never",,,,,,"Production Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 9:26 PM,9/7/14 9:26 PM,"Married","11-15 years","Never",,,,,,"Production Occupations",,,,,
"-","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","30-44",9/7/14 9:26 PM,9/7/14 9:28 PM,"Married","6-10 years","A few times per month","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Immediately/ We've always slept in separate beds","Business and Financial Operations Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 9:25 PM,9/7/14 9:27 PM,"Married","More than 20 years","Never",,,,,,"Life, Physical, and Social Science Occupations",,"Male","$100,000 - $149,999","Bachelor degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 9:24 PM,9/7/14 9:26 PM,"Married","11-15 years","Never",,,,,,"Other (please specify)","Energy (Natural Gas Storage)",,,,
"-","-","One of us is sick","-","-","We've had an argument or fight","-","-","One of us needs to sleep with a child","Night working/very different sleeping times","-","Somewhat disagree","Somewhat disagree","Strongly disagree","18-29",9/7/14 9:24 PM,9/7/14 9:28 PM,"Married","1-5 years","Once a year or less","Shared bedroom, different bed",,"Shared bedroom, different bed",,"Within the first 1-5 years of our relationship","Computer and Mathematical Occupations",,"Male","$150,000+","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 9:24 PM,9/7/14 9:24 PM,"Married","More than 20 years","Never",,,,,,"Management Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 9:19 PM,9/7/14 9:20 PM,"Married","More than 20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Male","$50,000 - $99,999","Bachelor degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 9:19 PM,9/7/14 9:19 PM,"Single, but cohabiting with a significant other",,,,,,,,,,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 9:17 PM,9/7/14 9:17 PM,"Married","More than 20 years","Never",,,,,,"Computer and Mathematical Occupations",,"Male","$150,000+","Bachelor degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 9:17 PM,9/7/14 9:17 PM,"Married","More than 20 years","Once a year or less",,,,,,,,,,,
"-","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","45-60",9/7/14 9:16 PM,9/7/14 9:18 PM,"Married","More than 20 years","A few times per month","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 11-15 years of our relationship","Sales and Related Occupations",,"Male","$100,000 - $149,999","Bachelor degree","West North Central"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Somewhat agree","18-29",9/7/14 8:24 PM,9/7/14 9:18 PM,"Married","1-5 years","Once a month or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Legal Occupations",,"Male","$150,000+","Graduate degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 9:15 PM,9/7/14 9:16 PM,"Married","More than 20 years","Never",,,,,,"Life, Physical, and Social Science Occupations",,"Male","$50,000 - $99,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","18-29",9/7/14 6:23 PM,9/7/14 9:18 PM,"In a domestic partnership or civil union","1-5 years","Every night","Other (please specify)","I live at home","Other (please specify)","He has his own house","Immediately/ We've always slept in separate beds","Management Occupations",,"Female",,"Bachelor degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 9:12 PM,9/7/14 9:14 PM,"Married","1-5 years","Never",,,,,,"Production Occupations",,"Male","$150,000+","Some college or Associate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 9:12 PM,9/7/14 9:13 PM,"Married","More than 20 years","Never",,,,,,"Business and Financial Operations Occupations",,"Male","$100,000 - $149,999","Graduate degree","West North Central"
"One of us snores","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Somewhat agree","Somewhat disagree","Strongly disagree","30-44",9/7/14 9:10 PM,9/7/14 9:11 PM,"In a domestic partnership or civil union","1-5 years","A few times per month","On the couch/chair",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Office and Administrative Support Occupations",,"Male","$0 - $24,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 9:09 PM,9/7/14 9:10 PM,"Married","More than 20 years","Never",,,,,,"Architecture and Engineering Occupations",,"Male","$150,000+","Bachelor degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 9:09 PM,9/7/14 9:09 PM,"Married","More than 20 years","Never",,,,,,"Computer and Mathematical Occupations",,"Male","$150,000+","Bachelor degree","Mountain"
"-","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Strongly agree","Strongly agree","Strongly agree","45-60",9/7/14 9:08 PM,9/7/14 9:11 PM,"Married","11-15 years","A few times per month","Separate bedroom",,"Separate bedroom",,"Immediately/ We've always slept in separate beds","Healthcare Practitioners and Technical Occupations",,"Male","$25,000 - $49,999","Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 9:08 PM,9/7/14 9:09 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Architecture and Engineering Occupations",,"Male","$100,000 - $149,999","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 9:08 PM,9/7/14 9:10 PM,"Married","11-15 years","Never",,,,,,"Other (please specify)","i'm disabled","Male","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 9:08 PM,9/7/14 9:09 PM,"Single, but cohabiting with a significant other","6-10 years","Never",,,,,,"Sales and Related Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 9:06 PM,9/7/14 9:07 PM,"Married","More than 20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Male","$100,000 - $149,999","Some college or Associate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 9:04 PM,9/7/14 9:05 PM,"Single, but cohabiting with a significant other","6-10 years","Never",,,,,,"Sales and Related Occupations",,"Male","$50,000 - $99,999","Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 9:04 PM,9/7/14 9:04 PM,"Married","11-15 years","Never",,,,,,"Healthcare Support Occupations",,"Male","$150,000+","Graduate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 9:03 PM,9/7/14 9:04 PM,"Married","More than 20 years","Never",,,,,,"Management Occupations",,"Male",,"Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 9:00 PM,9/7/14 9:00 PM,"Married","1-5 years","Never",,,,,,"Business and Financial Operations Occupations",,"Male","$150,000+","Bachelor degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 8:59 PM,9/7/14 9:02 PM,"Separated","1-5 years","Never",,,,,,"Installation, Maintenance, and Repair Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 8:59 PM,9/7/14 9:00 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Sales and Related Occupations",,"Male","$50,000 - $99,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 8:57 PM,9/7/14 8:57 PM,"Married","16-20 years","Never",,,,,,"Management Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 8:57 PM,9/7/14 8:57 PM,"Married",,,,,,,,,,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 8:56 PM,9/7/14 8:57 PM,"Married","More than 20 years","Never",,,,,,"Life, Physical, and Social Science Occupations",,"Male","$150,000+","Bachelor degree","Pacific"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","Other (please specify)","Strongly agree","Strongly agree","Strongly agree","45-60",9/7/14 8:55 PM,9/7/14 9:00 PM,"Married","1-5 years","Every night","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Immediately/ We've always slept in separate beds","Other (please specify)","Retired, Law Enforcement","Male","$100,000 - $149,999","Some college or Associate degree","Middle Atlantic"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","45-60",9/7/14 8:55 PM,9/7/14 8:57 PM,"In a domestic partnership or civil union","11-15 years","Once a year or less","On the couch/chair",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Other (please specify)","Cosemtologist","Male","$100,000 - $149,999","High school degree","South Atlantic"
"-","-","One of us is sick","-","-","We've had an argument or fight","-","-","One of us needs to sleep with a child","-","-","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","18-29",9/7/14 8:54 PM,9/7/14 8:56 PM,"Married","1-5 years","Once a month or less","On the couch/chair",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Management Occupations",,"Male","$50,000 - $99,999","Bachelor degree","Mountain"
"One of us snores","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","30-44",9/7/14 8:52 PM,9/7/14 8:53 PM,"Married","11-15 years","A few times per week","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Production Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree",
"-","-","-","We are no longer physically intimate","-","We've had an argument or fight","-","-","One of us needs to sleep with a child","-","-","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","30-44",9/7/14 8:51 PM,9/7/14 8:53 PM,"Married","11-15 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 11-15 years of our relationship","Construction and Extraction Occupations",,"Male","$150,000+","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 8:51 PM,9/7/14 8:57 PM,"Married","16-20 years","Never",,,,,,"Management Occupations",,"Male","$100,000 - $149,999","Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 8:50 PM,9/7/14 8:51 PM,"Married","More than 20 years","Never",,,,,,"Business and Financial Operations Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 8:49 PM,9/7/14 8:50 PM,"Married","More than 20 years","Never",,,,,,"Business and Financial Operations Occupations",,"Male","$150,000+","Graduate degree","East North Central"
"One of us snores","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Strongly disagree","Somewhat agree","Strongly disagree","18-29",9/7/14 8:49 PM,9/7/14 8:54 PM,"Single, but cohabiting with a significant other","6-10 years","Once a month or less","Separate bedroom",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Other (please specify)","Non-profit Management","Male","$50,000 - $99,999","Bachelor degree","West South Central"
"One of us snores","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Somewhat agree","Somewhat agree","45-60",9/7/14 8:38 PM,9/7/14 8:52 PM,"Married","More than 20 years","Every night","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Installation, Maintenance, and Repair Occupations",,"Male","$100,000 - $149,999","Some college or Associate degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 8:48 PM,9/7/14 8:49 PM,"Single, but cohabiting with a significant other","More than 20 years","Never",,,,,,"Other (please specify)","Small business owner","Male",,"Some college or Associate degree","Middle Atlantic"
"One of us snores","One of us makes frequent bathroom trips in the night","-","We are no longer physically intimate","-","-","-","-","-","-","-","Somewhat agree","Strongly agree","Neither agree nor disagree","45-60",9/7/14 8:46 PM,9/7/14 8:49 PM,"Married","More than 20 years","Every night","Separate bedroom",,"Separate bedroom",,"After 20 years of our relationship","Architecture and Engineering Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 8:47 PM,9/7/14 8:47 PM,"Married","More than 20 years","Never",,,,,,"Farming, Fishing, and Forestry Occupations",,,,,
